t,h
0,7.089181317191968E-05
0.1,-0.04976422189712085
0.2,-0.09799138898448492
0.30000000000000004,-0.14329981768962133
0.4,-0.18422383015566998
0.5,-0.21940069985436456
0.6,-0.24759379540681486
0.7,-0.267684220605945
0.7999999999999999,-0.2786785675168209
0.8999999999999999,-0.2797301187695669
0.9999999999999999,-0.2701622441246654
1.0999999999999999,-0.24948681035025466
1.2,-0.21741566752137778
1.3,-0.17386635291888833
1.4000000000000001,-0.11896401582032465
1.5000000000000002,-0.05304111368733253
1.6000000000000003,0.02336446059562063
1.7000000000000004,0.10951293549039331
1.8000000000000005,0.2044684440657738
1.9000000000000006,0.30710764749025454
2.0000000000000004,0.4161316314033561
2.1000000000000005,0.5300812079703936
2.2000000000000006,0.6473554519804694
2.3000000000000007,0.766233064009367
2.400000000000001,0.8848960189128242
2.500000000000001,1.001454921668023
2.600000000000001,1.1139755317719997
2.700000000000001,1.2205060001058035
2.800000000000001,1.3191044570611876
2.9000000000000012,1.4078666731170284
3.0000000000000013,1.4849535676638403
3.1000000000000014,1.548618363016727
3.2000000000000015,1.5972331705949065
3.3000000000000016,1.629314763161649
3.4000000000000017,1.6435492417436475
3.5000000000000018,1.6388152598460992
3.600000000000002,1.6142054309594287
3.700000000000002,1.569045525642099
3.800000000000002,1.5029110660207232
3.900000000000002,1.4156409495369477
4.000000000000002,1.3073477785502643
4.100000000000001,1.178424634193763
4.200000000000001,1.0295481065371808
4.300000000000001,0.8616774729358139
4.4,0.6760499968749731
4.5,0.4741723957997575
4.6,0.25780859457793076
4.699999999999999,0.028963938898557917
4.799999999999999,-0.21013391109287835
4.899999999999999,-0.4570571522083494
4.999999999999998,-0.7092027960415931
5.099999999999998,-0.9638201192837507
5.1999999999999975,-1.218040303674702
5.299999999999997,-1.4689079576863986
5.399999999999997,-1.7134142085310071
5.4999999999999964,-1.9485310491172183
5.599999999999996,-2.1712466186283432
5.699999999999996,-2.3786010865474765
5.799999999999995,-2.567722797923648
5.899999999999995,-2.735864322788579
5.999999999999995,-2.8804380357743677
6.099999999999994,-2.9990508344702578
6.199999999999994,-3.0895375885296987
6.299999999999994,-3.1499928978089824
6.399999999999993,-3.1788007287297426
6.499999999999993,-3.174661495348185
6.5999999999999925,-3.136616156800022
6.699999999999992,-3.064066917065154
6.799999999999992,-2.9567941371598643
6.8999999999999915,-2.814969104276652
6.999999999999991,-2.639162346955043
7.099999999999991,-2.4303472395328805
7.19999999999999,-2.1898987019299825
7.29999999999999,-1.9195868709172732
7.39999999999999,-1.6215656947842603
7.499999999999989,-1.2983564828659029
7.599999999999989,-0.9528265227101387
7.699999999999989,-0.5881629586796805
7.799999999999988,-0.20784220442419146
7.899999999999988,0.18440476403660183
7.999999999999988,0.5846308197192199
8.099999999999987,0.9887143252480509
8.199999999999987,1.3924034759048973
8.299999999999986,1.791362777198707
8.399999999999986,2.181221058537818
8.499999999999986,2.557620405333781
8.599999999999985,2.9162653839004653
8.699999999999985,3.2529719366141183
8.799999999999985,3.5637153384742883
8.899999999999984,3.8446766297117256
8.999999999999984,4.092286971481166
9.099999999999984,4.303269411842501
9.199999999999983,4.474677595939014
9.299999999999983,4.6039310062135375
9.399999999999983,4.688846374314448
9.499999999999982,4.7276649646888025
9.599999999999982,4.719075489437353
9.699999999999982,4.6622324735856004
9.799999999999981,4.556769948378763
9.89999999999998,4.402810406531273
9.99999999999998,4.200969006687777
