n,l
0,-0.059171597197864245
1,-0.1247155189948342
2,0.20972655399857656
3,0.1209126004130473
4,-0.13509421240268968
5,-0.09417021445261249
6,0.06142523311313425
7,0.05969364118572149
8,-0.021496782039936865
9,-0.03274564982354934
10,0.004947005446518162
11,0.016111792009042652
12,0.0003398258744345941
13,-0.007240927908457548
14,-0.0013224353744567606
15,0.0029913237480082918
16,0.0010618763876521292
17,-0.001130339112166037
18,-0.0006400096856701804
19,0.0003826125799760438
20,0.00033448460586198885
